Entry	Entry name	Protein names	Gene names
Q9ULW5	RAB26_HUMAN	Ras-related protein Rab-26	RAB26
Q99758	ABCA3_HUMAN	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	ABCA3 ABC3
P41002	CCNF_HUMAN	Cyclin-F (F-box only protein 1)	CCNF FBX1 FBXO1
Q99640	PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)	PKMYT1 MYT1
Q8N4S7	PAQR4_HUMAN	Progestin and adipoQ receptor family member 4 (Progestin and adipoQ receptor family member IV)	PAQR4
Q9NPA2	MMP25_HUMAN	Matrix metalloproteinase-25 (MMP-25) (EC 3.4.24.-) (Leukolysin) (Membrane-type matrix metalloproteinase 6) (MT-MMP 6) (MTMMP6) (Membrane-type-6 matrix metalloproteinase) (MT6-MMP) (MT6MMP)	MMP25 MMP20 MMPL1 MT6MMP
Q7RTR2	NLRC3_HUMAN	NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)	NLRC3 NOD3
Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75
Q58FF3	ENPLL_HUMAN	Putative endoplasmin-like protein (Putative heat shock protein 90 kDa beta member 2)	HSP90B2P GRP94B GRP94P1 TRAP1
Q92793	CBP_HUMAN	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP
O60503	ADCY9_HUMAN	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)	ADCY9 KIAA0520
Q9BZE0	GLIS2_HUMAN	Zinc finger protein GLIS2 (GLI-similar 2) (Neuronal Krueppel-like protein)	GLIS2 NKL
Q6EMK4	VASN_HUMAN	Vasorin (Protein slit-like 2)	VASN SLITL2 UNQ314/PRO357/PRO1282
P30519	HMOX2_HUMAN	Heme oxygenase 2 (HO-2) (EC 1.14.14.18)	HMOX2 HO2
P80404	GABT_HUMAN	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT
Q93009	UBP7_HUMAN	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP
Q12879	NMDE1_HUMAN	Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)	GRIN2A NMDAR2A
P33076	C2TA_HUMAN	MHC class II transactivator (CIITA) (EC 2.3.1.-) (EC 2.7.11.1)	CIITA MHC2TA
Q6PKC3	TXD11_HUMAN	Thioredoxin domain-containing protein 11 (EF-hand-binding protein 1)	TXNDC11 EFP1
Q9ULH7	MRTFB_HUMAN	Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2) (Megakaryoblastic leukemia 2)	MRTFB KIAA1243 MKL2
P33527	MRP1_HUMAN	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1
O95255	MRP6_HUMAN	ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6)	ABCC6 ARA MRP6
Q96Q15	SMG1_HUMAN	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)	SMG1 ATX KIAA0421 LIP
Q6DWJ6	GP139_HUMAN	Probable G-protein coupled receptor 139 (G(q)-coupled orphan receptor GPRg1) (G-protein-coupled receptor PGR3)	GPR139 GPRG1 PGR3
Q8N807	PDILT_HUMAN	Protein disulfide-isomerase-like protein of the testis	PDILT
Q70CQ4	UBP31_HUMAN	Ubiquitin carboxyl-terminal hydrolase 31 (EC 3.4.19.12) (Deubiquitinating enzyme 31) (Ubiquitin thioesterase 31) (Ubiquitin-specific-processing protease 31)	USP31 KIAA1203
P51170	SCNNG_HUMAN	Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG)	SCNN1G
P51168	SCNNB_HUMAN	Amiloride-sensitive sodium channel subunit beta (Beta-NaCH) (Epithelial Na(+) channel subunit beta) (Beta-ENaC) (ENaCB) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)	SCNN1B
P53350	PLK1_HUMAN	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK
Q76MJ5	ERN2_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE2 (Endoplasmic reticulum-to-nucleus signaling 2) (Inositol-requiring protein 2) (hIRE2p) (Ire1-beta) (IRE1b) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN2 IRE2
P05771	KPCB_HUMAN	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1
O60359	CCG3_HUMAN	Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3)	CACNG3
O94778	AQP8_HUMAN	Aquaporin-8 (AQP-8)	AQP8
O14983	AT2A1_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A1
Q14807	KIF22_HUMAN	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)	KIF22 KID KNSL4
Q6UXD5	SE6L2_HUMAN	Seizure 6-like protein 2	SEZ6L2 PSK UNQ1903/PRO4349
Q9UL54	TAOK2_HUMAN	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431
P60510	PP4C_HUMAN	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X) (PP-X)	PPP4C PPP4 PPX
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3
P20701	ITAL_HUMAN	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a)	ITGAL CD11A
Q6ZRS2	SRCAP_HUMAN	Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator)	SRCAP KIAA0309
P15735	PHKG2_HUMAN	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	PHKG2
Q9BRQ5	ORAI3_HUMAN	Protein orai-3 (Transmembrane protein 142C)	ORAI3 TMEM142C
O15047	SET1A_HUMAN	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	SETD1A KIAA0339 KMT2F SET1 SET1A
O14874	BCKD_HUMAN	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	BCKDK
Q9H7Z6	KAT8_HUMAN	Histone acetyltransferase KAT8 (EC 2.3.1.48) (Lysine acetyltransferase 8) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1) (MYST-1) (hMOF)	KAT8 MOF MYST1 PP7073
P35637	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS
P11215	ITAM_HUMAN	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A
P20702	ITAX_HUMAN	Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)	ITGAX CD11C
Q13349	ITAD_HUMAN	Integrin alpha-D (ADB2) (CD11 antigen-like family member D) (Leukointegrin alpha D) (CD antigen CD11d)	ITGAD
Q32MK0	MYLK3_HUMAN	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)	MYLK3 MLCK
Q8NC67	NETO2_HUMAN	Neuropilin and tolloid-like protein 2 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 2)	NETO2 BTCL2 UNQ1926/PRO4401
Q96J65	MRP9_HUMAN	ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9)	ABCC12 MRP9
P51828	ADCY7_HUMAN	Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7)	ADCY7 KIAA0037
Q9NPI1	BRD7_HUMAN	Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1)	BRD7 BP75 CELTIX1
Q9HC29	NOD2_HUMAN	Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15) (Inflammatory bowel disease protein 1)	NOD2 CARD15 IBD1
Q3L8U1	CHD9_HUMAN	Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)	CHD9 KIAA0308 KISH2 PRIC320 AD-013 x0008
P08253	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A
P23975	SC6A2_HUMAN	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2 NAT1 NET1 SLC6A5
P02795	MT2_HUMAN	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)	MT2A CES1 MT2
Q6NT32	EST5A_HUMAN	Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein homolog) (Cauxin)	CES5A CES7
Q86WI3	NLRC5_HUMAN	Protein NLRC5 (Caterpiller protein 16.1) (CLR16.1) (Nucleotide-binding oligomerization domain protein 27) (Nucleotide-binding oligomerization domain protein 4)	NLRC5 NOD27 NOD4
O00626	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1
P78423	X3CL1_HUMAN	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]	CX3CL1 FKN NTT SCYD1 A-152E5.2
Q92583	CCL17_HUMAN	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)	CCL17 SCYA17 TARC
Q8IZF4	AGRG5_HUMAN	Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27)	ADGRG5 GPR114 PGR27 UNQ2524/PRO6017
Q9Y653	AGRG1_HUMAN	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083
Q86Y34	AGRG3_HUMAN	Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) (G-protein coupled receptor PGR26)	ADGRG3 GPR97 PGR26
Q9BVG8	KIFC3_HUMAN	Kinesin-like protein KIFC3	KIFC3
Q14028	CNGB1_HUMAN	Cyclic nucleotide-gated cation channel beta-1 (Cyclic nucleotide-gated cation channel 4) (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel gamma) (Cyclic nucleotide-gated cation channel modulatory subunit) (Cyclic nucleotide-gated channel beta-1) (CNG channel beta-1) (Glutamic acid-rich protein) (GARP)	CNGB1 CNCG2 CNCG3L CNCG4 RCNC2
P51511	MMP15_HUMAN	Matrix metalloproteinase-15 (MMP-15) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 2) (MT-MMP 2) (MTMMP2) (Membrane-type-2 matrix metalloproteinase) (MT2-MMP) (MT2MMP) (SMCP-2)	MMP15
P19784	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2
O00142	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)	TK2
Q13564	ULA1_HUMAN	NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1) (Proto-oncogene protein 1)	NAE1 APPBP1 HPP1
P43166	CAH7_HUMAN	Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII)	CA7
Q9P2J9	PDP2_HUMAN	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)	PDP2 KIAA1348
P55042	RAD_HUMAN	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	RRAD RAD
O00748	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE
P23141	EST1_HUMAN	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1
Q6UWW8	EST3_HUMAN	Carboxylesterase 3 (EC 3.1.1.1) (Liver carboxylesterase 31 homolog)	CES3 UNQ869/PRO1887
Q5XG92	EST4A_HUMAN	Carboxylesterase 4A (EC 3.1.1.-)	CES4A CES8 UNQ440/PRO873
Q14940	SL9A5_HUMAN	Sodium/hydrogen exchanger 5 (Na(+)/H(+) exchanger 5) (NHE-5) (Solute carrier family 9 member 5)	SLC9A5 NHE5
P80365	DHI2_HUMAN	11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 3)	HSD11B2 HSD11K SDR9C3
Q496H8	NRN1L_HUMAN	Neuritin-like protein	NRN1L UNQ2446/PRO5725
P11801	KPSH1_HUMAN	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	PSKH1
Q9NVM4	ANM7_HUMAN	Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)	PRMT7 KIAA1933
P15559	NQO1_HUMAN	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)	NQO1 DIA4 NMOR1
O00308	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	WWP2
Q7Z443	PK1L3_HUMAN	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)	PKD1L3
Q02127	PYRD_HUMAN	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	DHODH
Q92620	PRP16_HUMAN	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13) (ATP-dependent RNA helicase DHX38) (DEAH box protein 38)	DHX38 DDX38 KIAA0224 PRP16
Q8NB16	MLKL_HUMAN	Mixed lineage kinase domain-like protein (hMLKL)	MLKL
Q9C0A0	CNTP4_HUMAN	Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)	CNTNAP4 CASPR4 KIAA1763
Q9NZC7	WWOX_HUMAN	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)	WWOX FOR SDR41C1 WOX1
Q7Z442	PK1L2_HUMAN	Polycystic kidney disease protein 1-like 2 (PC1-like 2 protein) (Polycystin-1L2)	PKD1L2 KIAA1879 PC1L2
Q9H2C0	GAN_HUMAN	Gigaxonin (Kelch-like protein 16)	GAN GAN1 KLHL16
P37059	DHB2_HUMAN	17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239)	HSD17B2 EDH17B2 SDR9C2
Q14703	MBTP1_HUMAN	Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1)	MBTPS1 KIAA0091 S1P SKI1
Q3SXM5	HSDL1_HUMAN	Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3)	HSDL1 SDR12C3
O75185	AT2C2_HUMAN	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Ca(2+)/Mn(2+)-ATPase 2C2) (Secretory pathway Ca(2+)-transporting ATPase type 2) (SPCA2)	ATP2C2 KIAA0703 SPCA2
Q8N4N3	KLH36_HUMAN	Kelch-like protein 36	KLHL36 C16orf44
Q14694	UBP10_HUMAN	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190
P35218	CAH5A_HUMAN	Carbonic anhydrase 5A, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VA) (Carbonic anhydrase VA) (CA-VA)	CA5A CA5
Q92508	PIEZ1_HUMAN	Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A)	PIEZO1 FAM38A KIAA0233
A6NKX4	S22AV_HUMAN	Putative solute carrier family 22 member 31	SLC22A31
Q15131	CDK10_HUMAN	Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE)	CDK10
Q01726	MSHR_HUMAN	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	MC1R MSHR
Q13509	TBB3_HUMAN	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4
Q9BT40	INP5K_HUMAN	Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)	INPP5K PPS SKIP
Q562E7	WDR81_HUMAN	WD repeat-containing protein 81	WDR81
P08697	A2AP_HUMAN	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 AAP PLI
P36955	PEDF_HUMAN	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)	SERPINF1 PEDF PIG35
Q86UN2	R4RL1_HUMAN	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	RTN4RL1 NGRH2 NGRL2
P43034	LIS1_HUMAN	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	PAFAH1B1 LIS1 MDCR MDS PAFAHA
Q8NET8	TRPV3_HUMAN	Transient receptor potential cation channel subfamily V member 3 (TrpV3) (Vanilloid receptor-like 3) (VRL-3)	TRPV3
Q8NER1	TRPV1_HUMAN	Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1)	TRPV1 VR1
Q93086	P2RX5_HUMAN	P2X purinoceptor 5 (P2X5) (ATP receptor) (Purinergic receptor)	P2RX5 P2X5
P38570	ITAE_HUMAN	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE
Q8TF76	HASP_HUMAN	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	HASPIN GSG2
Q8N5S9	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA
P51575	P2RX1_HUMAN	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)	P2RX1 P2X1
Q93084	AT2A3_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (SERCA3) (SR Ca(2+)-ATPase 3) (EC 7.2.2.10) (Calcium pump 3)	ATP2A3
Q2TAL5	SMTL2_HUMAN	Smoothelin-like protein 2	SMTNL2
P16050	LOX15_HUMAN	Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase) (15-LOX) (15-LOX-1) (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Hepoxilin A3 synthase Alox15) (EC 1.13.11.-) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12)	ALOX15 LOG15
O14939	PLD2_HUMAN	Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2)	PLD2
Q8N4C8	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3
Q04844	ACHE_HUMAN	Acetylcholine receptor subunit epsilon	CHRNE ACHRE
P07359	GP1BA_HUMAN	Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin]	GP1BA
O43896	KIF1C_HUMAN	Kinesin-like protein KIF1C	KIF1C KIAA0706
P35125	UBP6_HUMAN	Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (Proto-oncogene TRE-2) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)	USP6 HRP1 TRE2
Q9H6R0	DHX33_HUMAN	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	DHX33 DDX33
