gene_id,gene_name,cat_no,uniprot,compound_name,target_class,primary_target,primary_action
ENSG00000177119,ANO6,NA,NA,NA,NA,NA,NA
ENSG00000079337,RAPGEF3,4773,O95398,ESI 09,Enzymes,EPAC,Inhibitor
ENSG00000079337,RAPGEF3,4793,O95398,CE3F4,Enzymes,EPAC,Inhibitor
ENSG00000061273,HDAC7,4652,Q8WUI4,SAHA,Enzymes,Non-selective HDACs,Inhibitor
ENSG00000111424,VDR,NA,NA,NA,NA,NA,NA
ENSG00000174233,ADCY6,1099,O43306,Forskolin,Enzymes,Adenylyl Cyclase,Activator
ENSG00000172602,RND1,NA,NA,NA,NA,NA,NA
ENSG00000272822,AC073610.2,NA,NA,NA,NA,NA,NA
ENSG00000134287,ARF3,NA,NA,NA,NA,NA,NA
ENSG00000181929,PRKAG1,2840,P54619,AICAR,Enzymes,AMPK,Activator
ENSG00000167548,KMT2D,NA,NA,NA,NA,NA,NA
ENSG00000167550,RHEBL1,NA,NA,NA,NA,NA,NA
ENSG00000139549,DHH,NA,NA,NA,NA,NA,NA
ENSG00000123416,TUBA1B,NA,NA,NA,NA,NA,NA
ENSG00000167552,TUBA1A,NA,NA,NA,NA,NA,NA
ENSG00000167553,TUBA1C,NA,NA,NA,NA,NA,NA
ENSG00000135519,KCNH3,NA,NA,NA,NA,NA,NA
ENSG00000167580,AQP2,NA,NA,NA,NA,NA,NA
ENSG00000161798,AQP5,NA,NA,NA,NA,NA,NA
ENSG00000086159,AQP6,NA,NA,NA,NA,NA,NA
ENSG00000110881,ASIC1,NA,NA,NA,NA,NA,NA
ENSG00000123268,ATF1,NA,NA,NA,NA,NA,NA
ENSG00000139610,CELA1,NA,NA,NA,NA,NA,NA
ENSG00000196876,SCN8A,NA,NA,NA,NA,NA,NA
ENSG00000139567,ACVRL1,4986,P37023,K 02288,Enzyme-Linked Receptors,BMP and Other Activin Receptors,Inhibitor
ENSG00000135503,ACVR1B,1614,P36896,SB 431542,Enzyme-Linked Receptors,TGF-beta Receptors,Inhibitor
ENSG00000135503,ACVR1B,3263,P36896,SB 505124,Enzyme-Linked Receptors,TGF-beta Receptors,Inhibitor
ENSG00000123358,NR4A1,NA,NA,NA,NA,NA,NA
ENSG00000167780,SOAT2,2227,O75908,CI 976,Enzymes,Acyl-CoA:Cholesterol Acyltransferase,Inhibitor
ENSG00000167780,SOAT2,6505,O75908,Avasimibe,Enzymes,Acyl-CoA:Cholesterol Acyltransferase,Inhibitor
ENSG00000139626,ITGB7,NA,NA,NA,NA,NA,NA
ENSG00000172819,RARG,1549,P13631,CD 437,Nuclear Receptors,Retinoic Acid Receptors,Agonist
ENSG00000172819,RARG,2554,P13631,CD 1530,Nuclear Receptors,Retinoic Acid Receptors,Agonist
ENSG00000172819,RARG,3410,P13631,BMS 961,Nuclear Receptors,Retinoic Acid Receptors,Agonist
ENSG00000172819,RARG,3822,P13631,MM 11253,Nuclear Receptors,Retinoic Acid Receptors,Antagonist
ENSG00000172819,RARG,5984,P13631,LY 2955303,Nuclear Receptors,Retinoic Acid Receptors,Antagonist
ENSG00000135409,AMHR2,NA,NA,NA,NA,NA,NA
ENSG00000139625,MAP3K12,NA,NA,NA,NA,NA,NA
ENSG00000123405,NFE2,NA,NA,NA,NA,NA,NA
ENSG00000139572,GPR84,NA,NA,NA,NA,NA,NA
ENSG00000161638,ITGA5,NA,NA,NA,NA,NA,NA
ENSG00000123360,PDE1B,NA,NA,NA,NA,NA,NA
ENSG00000123307,NEUROD4,NA,NA,NA,NA,NA,NA
ENSG00000135424,ITGA7,NA,NA,NA,NA,NA,NA
ENSG00000135437,RDH5,NA,NA,NA,NA,NA,NA
ENSG00000135414,GDF11,NA,NA,NA,NA,NA,NA
ENSG00000123342,MMP19,NA,NA,NA,NA,NA,NA
ENSG00000065357,DGKA,NA,NA,NA,NA,NA,NA
ENSG00000123374,CDK2,1332,P24941,Roscovitine,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,1530,P24941,Lovastatin,Enzymes,HMG-CoA Reductase,Inhibitor
ENSG00000123374,CDK2,1580,P24941,Purvalanol A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,1581,P24941,Purvalanol B,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,1965,P24941,Simvastatin,Enzymes,HMG-CoA Reductase,Inhibitor
ENSG00000123374,CDK2,2072,P24941,Aminopurvalanol A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,2907,P24941,SU 9516,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,3301,P24941,NU 6140,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,3968,P24941,AZD 5438,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,5654,P24941,BMS 265246,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,6174,P24941,CVT 313,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000123374,CDK2,7158,P24941,FMF-04-159-2,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000111540,RAB5B,NA,NA,NA,NA,NA,NA
ENSG00000065361,ERBB3,2794,P21860,PP 3,Enzymes,Src Kinases,Inhibitor
ENSG00000170581,STAT2,4307,P52630,YC 1,Enzymes,Guanylyl Cyclase,Activator
ENSG00000135517,MIP,NA,NA,NA,NA,NA,NA
ENSG00000076108,BAZ2A,5266,Q9UIF9,BAZ2-ICR,Cell biology,Bromodomains,Inhibitor
ENSG00000025423,HSD17B6,NA,NA,NA,NA,NA,NA
ENSG00000170426,SDR9C7,NA,NA,NA,NA,NA,NA
ENSG00000139547,RDH16,NA,NA,NA,NA,NA,NA
ENSG00000166888,STAT6,NA,NA,NA,NA,NA,NA
ENSG00000175189,INHBC,NA,NA,NA,NA,NA,NA
ENSG00000139269,INHBE,NA,NA,NA,NA,NA,NA
ENSG00000111087,GLI1,3191,P08151,GANT 61,Cell biology,Hedgehog Signaling,Inhibitor
ENSG00000155980,KIF5A,NA,NA,NA,NA,NA,NA
ENSG00000166908,PIP4K2C,NA,NA,NA,NA,NA,NA
ENSG00000135439,AGAP2,NA,NA,NA,NA,NA,NA
ENSG00000135446,CDK4,0741,P11802,GF 109203X,Enzymes,Protein Kinase C,Inhibitor
ENSG00000135446,CDK4,1530,P11802,Lovastatin,Enzymes,HMG-CoA Reductase,Inhibitor
ENSG00000135446,CDK4,1965,P11802,Simvastatin,Enzymes,HMG-CoA Reductase,Inhibitor
ENSG00000135446,CDK4,2457,P11802,Arcyriaflavin A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000135446,CDK4,2609,P11802,Ryuvidine,Enzymes,Other Lysine Methyltransferases,Inhibitor
ENSG00000111012,CYP27B1,NA,NA,NA,NA,NA,NA
ENSG00000118596,SLC16A7,NA,NA,NA,NA,NA,NA
ENSG00000135655,USP15,NA,NA,NA,NA,NA,NA
ENSG00000061987,MON2,NA,NA,NA,NA,NA,NA
ENSG00000111110,PPM1H,NA,NA,NA,NA,NA,NA
ENSG00000166148,AVPR1A,2310,P37288,SR 49059,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000166148,AVPR1A,3924,P37288,OPC 21268,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000166148,AVPR1A,4625,P37288,TC OT 39,7-TM Receptors,Oxytocin Receptors,Agonist
ENSG00000166148,AVPR1A,6830,P37288,Conivaptan hydrochloride,7-TM Receptors,Vasopressin Receptors,Antagonist
ENSG00000183735,TBK1,5672,Q9UHD2,GSK 319347A,Enzymes,IkB Kinase,Inhibitor
ENSG00000090376,IRAK3,NA,NA,NA,NA,NA,NA
ENSG00000127311,HELB,NA,NA,NA,NA,NA,NA
ENSG00000127334,DYRK2,NA,NA,NA,NA,NA,NA
ENSG00000111536,IL26,NA,NA,NA,NA,NA,NA
ENSG00000127314,RAP1B,NA,NA,NA,NA,NA,NA
ENSG00000135679,MDM2,6075,Q00987,Nutlin 3a,Enzymes,Ubiquitin E3 Ligases,Inhibitor
ENSG00000135679,MDM2,6904,Q00987,Idasanutlin,Enzymes,Ubiquitin E3 Ligases,Inhibitor
ENSG00000135643,KCNMB4,NA,NA,NA,NA,NA,NA
ENSG00000080371,RAB21,NA,NA,NA,NA,NA,NA
ENSG00000139287,TPH2,5871,Q8IWU9,pCPA methyl ester hydrochloride,Enzymes,Hydroxylases,Inhibitor
ENSG00000072657,TRHDE,NA,NA,NA,NA,NA,NA
ENSG00000166006,KCNC2,NA,NA,NA,NA,NA,NA
ENSG00000139304,PTPRQ,NA,NA,NA,NA,NA,NA
ENSG00000072041,SLC6A15,NA,NA,NA,NA,NA,NA
ENSG00000139323,POC1B,NA,NA,NA,NA,NA,NA
ENSG00000070961,ATP2B1,NA,NA,NA,NA,NA,NA
ENSG00000011465,DCN,NA,NA,NA,NA,NA,NA
ENSG00000120798,NR2C1,NA,NA,NA,NA,NA,NA
ENSG00000136014,USP44,NA,NA,NA,NA,NA,NA
ENSG00000111144,LTA4H,3595,P09960,CHR 2797,Enzymes,Aminopeptidases,Inhibitor
ENSG00000111145,ELK3,NA,NA,NA,NA,NA,NA
ENSG00000059758,CDK17,7158,Q00537,FMF-04-159-2,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000139350,NEDD1,NA,NA,NA,NA,NA,NA
ENSG00000075089,ACTR6,NA,NA,NA,NA,NA,NA
ENSG00000012504,NR1H4,2563,Q96RI1,Fexaramine,Nuclear Receptors,LXR-like Receptors,Agonist
ENSG00000139354,GAS2L3,NA,NA,NA,NA,NA,NA
ENSG00000151572,ANO4,NA,NA,NA,NA,NA,NA
ENSG00000120805,ARL1,NA,NA,NA,NA,NA,NA
ENSG00000166211,SPIC,NA,NA,NA,NA,NA,NA
ENSG00000171759,PAH,NA,NA,NA,NA,NA,NA
ENSG00000166598,HSP90B1,NA,NA,NA,NA,NA,NA
ENSG00000136010,ALDH1L2,NA,NA,NA,NA,NA,NA
ENSG00000136044,APPL2,NA,NA,NA,NA,NA,NA
ENSG00000074590,NUAK1,5622,O60285,HTH 01-015,Enzymes,NUAK,Inhibitor
ENSG00000174600,CMKLR1,NA,NA,NA,NA,NA,NA
ENSG00000166111,SVOP,NA,NA,NA,NA,NA,NA
ENSG00000135093,USP30,NA,NA,NA,NA,NA,NA
ENSG00000151148,UBE3B,NA,NA,NA,NA,NA,NA
ENSG00000111199,TRPV4,5106,Q9HBA0,GSK 2193874,Ion Channels,TRPV,Antagonist
ENSG00000111199,TRPV4,5678,Q9HBA0,RN 9893 hydrochloride,Ion Channels,TRPV,Antagonist
ENSG00000139436,GIT2,NA,NA,NA,NA,NA,NA
ENSG00000174437,ATP2A2,2006,P16615,Paxilline,Enzymes,Ca2+-ATPase,Blocker
ENSG00000174437,ATP2A2,5869,P16615,CDN 1163,Enzymes,Ca2+-ATPase,Activator
ENSG00000186298,PPP1CC,NA,NA,NA,NA,NA,NA
ENSG00000111271,ACAD10,NA,NA,NA,NA,NA,NA
ENSG00000257767,AC002996.1,NA,NA,NA,NA,NA,NA
ENSG00000111275,ALDH2,5164,P05091,CVT 10216,Enzymes,Aldehyde Dehydrogenase,Inhibitor
ENSG00000089022,MAPKAPK5,NA,NA,NA,NA,NA,NA
ENSG00000173064,HECTD4,NA,NA,NA,NA,NA,NA
ENSG00000186815,TPCN1,NA,NA,NA,NA,NA,NA
ENSG00000089250,NOS1,3319,P29475,ARL 17477 dihydrochloride,Enzymes,nNOS,Inhibitor
ENSG00000171435,KSR2,NA,NA,NA,NA,NA,NA
ENSG00000176834,VSIG10,NA,NA,NA,NA,NA,NA
ENSG00000135090,TAOK3,NA,NA,NA,NA,NA,NA
ENSG00000111725,PRKAB1,2840,Q9Y478,AICAR,Enzymes,AMPK,Activator
ENSG00000111725,PRKAB1,2864,Q9Y478,Metformin hydrochloride,Enzymes,AMPK,Activator
ENSG00000111725,PRKAB1,3093,Q9Y478,Dorsomorphin dihydrochloride,Enzymes,AMPK,Inhibitor
ENSG00000122966,CIT,NA,NA,NA,NA,NA,NA
ENSG00000111737,RAB35,NA,NA,NA,NA,NA,NA
ENSG00000089163,SIRT4,NA,NA,NA,NA,NA,NA
ENSG00000157782,CABP1,NA,NA,NA,NA,NA,NA
ENSG00000175970,UNC119B,NA,NA,NA,NA,NA,NA
ENSG00000122971,ACADS,NA,NA,NA,NA,NA,NA
ENSG00000089041,P2RX7,2972,Q99572,A 438079 hydrochloride,Ion Channels,P2X Receptors,Antagonist
ENSG00000089041,P2RX7,3323,Q99572,AZ 10606120 dihydrochloride,Ion Channels,P2X Receptors,Antagonist
ENSG00000089041,P2RX7,3701,Q99572,A 740003,Ion Channels,P2X Receptors,Antagonist
ENSG00000089041,P2RX7,4473,Q99572,A 804598,Ion Channels,P2X Receptors,Antagonist
ENSG00000089041,P2RX7,5299,Q99572,JNJ 47965567,Ion Channels,P2X Receptors,Antagonist
ENSG00000135124,P2RX4,3579,Q99571,5-BDBD,Ion Channels,P2X Receptors,Antagonist
ENSG00000110931,CAMKK2,NA,NA,NA,NA,NA,NA
ENSG00000089094,KDM2B,NA,NA,NA,NA,NA,NA
ENSG00000276045,ORAI1,3939,Q96D31,YM 58483,Ion Channels,Other Calcium Channels,Inhibitor
ENSG00000139725,RHOF,NA,NA,NA,NA,NA,NA
ENSG00000139718,SETD1B,NA,NA,NA,NA,NA,NA
ENSG00000182782,HCAR2,4622,Q8TDS4,MK 1903,7-TM Receptors,Hydroxycarboxylic Acid Receptors,Agonist
ENSG00000255398,HCAR3,NA,NA,NA,NA,NA,NA
ENSG00000196917,HCAR1,NA,NA,NA,NA,NA,NA
ENSG00000150967,ABCB9,NA,NA,NA,NA,NA,NA
ENSG00000150990,DHX37,NA,NA,NA,NA,NA,NA
ENSG00000111432,FZD10,NA,NA,NA,NA,NA,NA
ENSG00000111452,ADGRD1,NA,NA,NA,NA,NA,NA
ENSG00000198598,MMP17,NA,NA,NA,NA,NA,NA
ENSG00000183495,EP400,NA,NA,NA,NA,NA,NA
ENSG00000187848,P2RX2,NA,NA,NA,NA,NA,NA
ENSG00000198033,TUBA3C,NA,NA,NA,NA,NA,NA
ENSG00000121743,GJA3,NA,NA,NA,NA,NA,NA
ENSG00000165474,GJB2,NA,NA,NA,NA,NA,NA
ENSG00000121742,GJB6,NA,NA,NA,NA,NA,NA
ENSG00000102678,FGF9,NA,NA,NA,NA,NA,NA
ENSG00000075673,ATP12A,NA,NA,NA,NA,NA,NA
ENSG00000132964,CDK8,NA,NA,NA,NA,NA,NA
ENSG00000132975,GPR12,NA,NA,NA,NA,NA,NA
ENSG00000122035,RASL11A,NA,NA,NA,NA,NA,NA
ENSG00000122025,FLT3,5013,P36888,AC 710,Enzyme-Linked Receptors,PDGFR,Inhibitor
ENSG00000122025,FLT3,6788,P36888,Quizartinib,Enzyme-Linked Receptors,FLT3,Inhibitor
ENSG00000102755,FLT1,NA,NA,NA,NA,NA,NA
ENSG00000120694,HSPH1,NA,NA,NA,NA,NA,NA
ENSG00000133105,RXFP2,NA,NA,NA,NA,NA,NA
ENSG00000133083,DCLK1,NA,NA,NA,NA,NA,NA
ENSG00000133101,CCNA1,1332,P78396,Roscovitine,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000133101,CCNA1,1580,P78396,Purvalanol A,Enzymes,Cyclin-dependent Kinase,Inhibitor
ENSG00000120693,SMAD9,NA,NA,NA,NA,NA,NA
ENSG00000180138,CSNK1A1L,NA,NA,NA,NA,NA,NA
ENSG00000133107,TRPC4,4732,Q9UBN4,ML 204,Ion Channels,TRPC,Blocker
ENSG00000150893,FREM2,NA,NA,NA,NA,NA,NA
ENSG00000133115,STOML3,6545,Q8TAV4,OB-1,Ion Channels,Piezo Channels,Other
ENSG00000120690,ELF1,NA,NA,NA,NA,NA,NA
ENSG00000165572,KBTBD6,NA,NA,NA,NA,NA,NA
ENSG00000120696,KBTBD7,NA,NA,NA,NA,NA,NA
ENSG00000102780,DGKH,NA,NA,NA,NA,NA,NA
ENSG00000120659,TNFSF11,NA,NA,NA,NA,NA,NA
ENSG00000102468,HTR2A,0523,P28223,4F 4PP oxalate,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,0995,P28223,Spiperone hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,1742,P28223,R-96544 hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,1809,P28223,Altanserin hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,1955,P28223,Ritanserin,7-TM Receptors,Non-selective 5-HT2,Antagonist
ENSG00000102468,HTR2A,2018,P28223,Mirtazapine,7-TM Receptors,Non-selective 5-HT2,Antagonist
ENSG00000102468,HTR2A,2592,P28223,TCB-2,7-TM Receptors,5-HT2A Receptors,Agonist
ENSG00000102468,HTR2A,3739,P28223,Sarpogrelate hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,4173,P28223,MDL 100907,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,4349,P28223,Olanzapine,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,4470,P28223,EMD 281014 hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000102468,HTR2A,5584,P28223,Aripiprazole,7-TM Receptors,D2 Receptors,Agonist
ENSG00000102468,HTR2A,6336,P28223,Trazodone hydrochloride,7-TM Receptors,5-HT2A Receptors,Antagonist
ENSG00000139679,LPAR6,NA,NA,NA,NA,NA,NA
ENSG00000152207,CYSLTR2,3026,Q9NS75,ONO 1078,7-TM Receptors,Leukotriene and Related Receptors,Antagonist
ENSG00000102539,MLNR,NA,NA,NA,NA,NA,NA
ENSG00000136169,SETDB2,NA,NA,NA,NA,NA,NA
ENSG00000152213,ARL11,NA,NA,NA,NA,NA,NA
ENSG00000123179,EBPL,NA,NA,NA,NA,NA,NA
ENSG00000253309,SERPINE3,NA,NA,NA,NA,NA,NA
ENSG00000102796,DHRS12,NA,NA,NA,NA,NA,NA
ENSG00000123191,ATP7B,NA,NA,NA,NA,NA,NA
ENSG00000150361,KLHL1,NA,NA,NA,NA,NA,NA
ENSG00000136160,EDNRB,6232,P24530,Bosentan,7-TM Receptors,Non-selective Endothelin,Antagonist
ENSG00000125257,ABCC4,NA,NA,NA,NA,NA,NA
ENSG00000165621,OXGR1,NA,NA,NA,NA,NA,NA
ENSG00000125249,RAP2A,NA,NA,NA,NA,NA,NA
ENSG00000102572,STK24,NA,NA,NA,NA,NA,NA
ENSG00000125245,GPR18,NA,NA,NA,NA,NA,NA
ENSG00000139800,ZIC5,NA,NA,NA,NA,NA,NA
ENSG00000043355,ZIC2,NA,NA,NA,NA,NA,NA
ENSG00000102452,"NALCN",NA,NA,NA,NA,NA,NA
ENSG00000198542,ITGBL1,NA,NA,NA,NA,NA,NA
ENSG00000102466,FGF14,NA,NA,NA,NA,NA,NA
ENSG00000134900,TPP2,NA,NA,NA,NA,NA,NA
ENSG00000185950,IRS2,2849,Q9Y4H2,SecinH3,Enzymes,Arf,Inhibitor
ENSG00000139832,RAB20,NA,NA,NA,NA,NA,NA
ENSG00000185974,GRK1,5642,Q15835,CMPD101,Enzymes,Heterotrimeric G-protein GTPases,Inhibitor
ENSG00000257115,OR11H12,NA,NA,NA,NA,NA,NA
ENSG00000258453,OR11H2,NA,NA,NA,NA,NA,NA
ENSG00000196832,OR11G2,NA,NA,NA,NA,NA,NA
ENSG00000176219,OR11H6,NA,NA,NA,NA,NA,NA
ENSG00000258806,OR11H7,NA,NA,NA,NA,NA,NA
ENSG00000176198,OR11H4,NA,NA,NA,NA,NA,NA
ENSG00000129484,PARP2,6230,Q9UGN5,Rucaparib camsylate,Enzymes,Poly(ADP-ribose) Polymerase,Inhibitor
ENSG00000129566,TEP1,NA,NA,NA,NA,NA,NA
ENSG00000185271,KLHL33,NA,NA,NA,NA,NA,NA
ENSG00000100888,CHD8,NA,NA,NA,NA,NA,NA
ENSG00000129472,RAB2B,NA,NA,NA,NA,NA,NA
ENSG00000100439,ABHD4,NA,NA,NA,NA,NA,NA
ENSG00000157227,MMP14,4775,P50281,SD 2590 hydrochloride,Enzymes,Matrix Metalloprotease,Inhibitor
ENSG00000157227,MMP14,4902,P50281,NSC 405020,Enzymes,Class I HDACs,Inhibitor
ENSG00000139890,REM2,NA,NA,NA,NA,NA,NA
ENSG00000129473,BCL2L2,6539,Q92843,Obatoclax mesylate,Cell biology,Bcl-2 Family,Inhibitor
ENSG00000092096,SLC22A17,NA,NA,NA,NA,NA,NA
ENSG00000100867,DHRS2,NA,NA,NA,NA,NA,NA
ENSG00000157326,DHRS4,NA,NA,NA,NA,NA,NA
ENSG00000187630,DHRS4L2,NA,NA,NA,NA,NA,NA
ENSG00000139908,TSSK4,NA,NA,NA,NA,NA,NA
ENSG00000100938,GMPR2,NA,NA,NA,NA,NA,NA
ENSG00000092295,TGM1,NA,NA,NA,NA,NA,NA
ENSG00000157379,DHRS1,NA,NA,NA,NA,NA,NA
ENSG00000213906,LTB4R2,2208,Q9NPC1,LY 255283,7-TM Receptors,Leukotriene and Related Receptors,Antagonist
ENSG00000213903,LTB4R,0607,Q15722,17-ODYA,Enzymes,Hydroxylases,Inhibitor
ENSG00000129467,ADCY4,1099,Q8NFM4,Forskolin,Enzymes,Adenylyl Cyclase,Activator
ENSG00000129465,RIPK3,6492,Q9Y572,GSK'872,Enzymes,RIP Kinases,Inhibitor
ENSG00000184304,PRKD1,3327,Q15139,CID 755673,Enzymes,Protein Kinase D,Inhibitor
ENSG00000092148,HECTD1,NA,NA,NA,NA,NA,NA
ENSG00000214943,GPR33,NA,NA,NA,NA,NA,NA
ENSG00000151322,NPAS3,NA,NA,NA,NA,NA,NA
ENSG00000198604,BAZ1A,NA,NA,NA,NA,NA,NA
ENSG00000100906,NFKBIA,1743,P25963,Bay 11-7085,Cell biology,NF-kB/IkB,Inhibitor
ENSG00000100906,NFKBIA,1777,P25963,Arctigenin,Enzymes,MEK,Inhibitor
ENSG00000139874,SSTR1,NA,NA,NA,NA,NA,NA
ENSG00000179454,KLHL28,NA,NA,NA,NA,NA,NA
ENSG00000165527,ARF6,5986,P62330,"NAV 2729",Enzymes,Arf,Inhibitor
ENSG00000100485,SOS2,NA,NA,NA,NA,NA,NA
ENSG00000100490,CDKL1,NA,NA,NA,NA,NA,NA
ENSG00000012983,MAP4K5,NA,NA,NA,NA,NA,NA
ENSG00000100504,PYGL,3542,P06737,CP 316819,Enzymes,Phosphorylases,Inhibitor
ENSG00000139921,TMX1,NA,NA,NA,NA,NA,NA
ENSG00000168229,PTGDR,NA,NA,NA,NA,NA,NA
ENSG00000125384,PTGER2,0671,P43116,AH 6809,7-TM Receptors,Prostanoid Receptors,Antagonist
ENSG00000125384,PTGER2,4818,P43116,PF 04418948,7-TM Receptors,Prostanoid Receptors,Antagonist
ENSG00000125378,BMP4,NA,NA,NA,NA,NA,NA
ENSG00000131966,ACTR10,NA,NA,NA,NA,NA,NA
ENSG00000100612,DHRS7,NA,NA,NA,NA,NA,NA
ENSG00000100614,PPM1A,NA,NA,NA,NA,NA,NA
ENSG00000027075,PRKCH,0741,P24723,GF 109203X,Enzymes,Protein Kinase C,Inhibitor
ENSG00000258989,AL355916.3,NA,NA,NA,NA,NA,NA
ENSG00000100644,HIF1A,4565,Q16665,ML 228,Cell biology,Hypoxia Inducible Factors,Activator
ENSG00000100644,HIF1A,5655,Q16665,GN 44028,Cell biology,Hypoxia Inducible Factors,Inhibitor
ENSG00000100644,HIF1A,6653,Q16665,FM19G11,Cell biology,Hypoxia Inducible Factors,Inhibitor
ENSG00000100644,HIF1A,6980,Q16665,BAY 87-2243,Cell biology,Oxidative Phosphorylation,Inhibitor
ENSG00000140015,KCNH5,NA,NA,NA,NA,NA,NA
ENSG00000126785,RHOJ,NA,NA,NA,NA,NA,NA
ENSG00000054654,SYNE2,NA,NA,NA,NA,NA,NA
ENSG00000140009,ESR2,0999,Q92731,Tamoxifen citrate,Nuclear Receptors,Estrogen and Related Receptors,Modulator
ENSG00000140009,ESR2,1047,Q92731,"ICI 182,780",Nuclear Receptors,Estrogen and Related Receptors,Antagonist
ENSG00000140009,ESR2,2183,Q92731,ZK 164015,Nuclear Receptors,Estrogen and Related Receptors,Antagonist
ENSG00000140009,ESR2,2280,Q92731,Raloxifene hydrochloride,Nuclear Receptors,Estrogen and Related Receptors,Modulator
ENSG00000140009,ESR2,2662,Q92731,PHTPP,Nuclear Receptors,Estrogen and Related Receptors,Antagonist
ENSG00000140009,ESR2,3366,Q92731,WAY 200070,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000140009,ESR2,3523,Q92731,FERb 033,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000140009,ESR2,4494,Q92731,(R)-DPN,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000140009,ESR2,5053,Q92731,AC 186,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000140009,ESR2,5263,Q92731,Bazedoxifene acetate,Nuclear Receptors,Estrogen and Related Receptors,Modulator
ENSG00000140009,ESR2,6342,Q92731,Tamoxifen,Nuclear Receptors,Estrogen and Related Receptors,Modulator
ENSG00000126803,HSPA2,3803,P54652,VER 155008,Cell biology,Hsp70,Inhibitor
ENSG00000070182,SPTB,NA,NA,NA,NA,NA,NA
ENSG00000176153,GPX2,NA,NA,NA,NA,NA,NA
ENSG00000139998,RAB15,NA,NA,NA,NA,NA,NA
ENSG00000258466,AL049779.1,NA,NA,NA,NA,NA,NA
ENSG00000072042,RDH11,NA,NA,NA,NA,NA,NA
ENSG00000139988,RDH12,NA,NA,NA,NA,NA,NA
ENSG00000072110,ACTN1,NA,NA,NA,NA,NA,NA
ENSG00000100647,SUSD6,NA,NA,NA,NA,NA,NA
ENSG00000100678,SLC8A3,NA,NA,NA,NA,NA,NA
ENSG00000139985,ADAM21,NA,NA,NA,NA,NA,NA
ENSG00000134007,ADAM20,NA,NA,NA,NA,NA,NA
ENSG00000006432,MAP3K9,NA,NA,NA,NA,NA,NA
ENSG00000182732,RGS6,NA,NA,NA,NA,NA,NA
ENSG00000205683,DPF3,NA,NA,NA,NA,NA,NA
ENSG00000119599,DCAF4,NA,NA,NA,NA,NA,NA
ENSG00000080815,PSEN1,2634,P49768,DAPT,Cell biology,Neural Stem Cells,Other
ENSG00000080815,PSEN1,2870,P49768,BMS 299897,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000080815,PSEN1,4000,P49768,MRK 560,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000080815,PSEN1,6363,P49768,Avagacestat,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000080815,PSEN1,6559,P49768,LY 450139,Enzymes,Gamma-Secretase,Inhibitor
ENSG00000119723,COQ6,NA,NA,NA,NA,NA,NA
ENSG00000119711,ALDH6A1,NA,NA,NA,NA,NA,NA
ENSG00000119682,AREL1,NA,NA,NA,NA,NA,NA
ENSG00000119699,TGFB3,NA,NA,NA,NA,NA,NA
ENSG00000119715,ESRRB,2266,O95718,DY131,Nuclear Receptors,Estrogen and Related Receptors,Agonist
ENSG00000021645,NRXN3,NA,NA,NA,NA,NA,NA
ENSG00000185070,FLRT2,NA,NA,NA,NA,NA,NA
ENSG00000140030,GPR65,NA,NA,NA,NA,NA,NA
ENSG00000100433,KCNK10,6689,P57789,GI 530159,Ion Channels,Two-P Potassium Channels,Activator
